postal_code,district,nom_dept,Latitude,Longitude
75001,Louvre,PARIS,48.86263049,2.336293447
75002,Bourse,PARIS,48.86790338,2.344107167
75003,Temple,PARIS,48.86305413,2.359361059
75004,Hotel-de-Ville,PARIS,48.85422828,2.357361938
75005,Pantheon,PARIS,48.84450866,2.349859386
75006,Luxembourg,PARIS,48.84896809,2.332670899
75007,Palais-Bourbon,PARIS,48.8560826,2.312438688
75008,Elysse,PARIS,48.87252727,2.31258256
75009,Opera,PARIS,48.87689616,2.337460241
75010,Entrepot,PARIS,48.87602856,2.361112905
75011,Popincourt,PARIS,48.8594155,2.37874106
75012,Reuilly,PARIS,48.83515623,2.419807035
75013,Gobelins,PARIS,48.82871768,2.362468229
75014,Observatoire,PARIS,48.82899321,2.327100883
75015,Vaugirard,PARIS,48.84015542,2.293559372
75016,Passy,PARIS,48.86039876,2.262099559
75017,Batignolles-Monceau,PARIS,48.88733717,2.307485559
75018,Butte-Montmartre,PARIS,48.89273507,2.348711934
75019,Buttes-Chaumont,PARIS,48.88686862,2.384694328
75020,Menilmontant,PARIS,48.86318678,2.400819827
